verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),001,06:00,06:15,2,,50,2,2,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),002,06:15,06:30,3,,67,5,0,3,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),003,06:30,06:45,1,,54,9,3,2,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),004,06:45,07:00,0,,72,6,2,3,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),005,07:00,07:15,3,,97,11,2,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),006,07:15,07:30,1,,111,7,3,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),007,07:30,07:45,3,,87,7,7,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),008,07:45,08:00,1,,62,9,4,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),009,08:00,08:15,1,,56,8,5,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),010,08:15,08:30,1,,85,4,4,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),011,08:30,08:45,2,,68,7,2,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),012,08:45,09:00,4,,82,6,6,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),013,09:00,09:15,2,,85,6,4,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),014,09:15,09:30,1,,79,2,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),015,09:30,09:45,3,,115,13,5,3,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),016,09:45,10:00,2,,109,7,4,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),017,10:00,10:15,2,,98,9,2,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),018,10:15,10:30,3,,89,8,5,2,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),019,10:30,10:45,4,,96,11,5,3,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),020,10:45,11:00,2,,101,8,2,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),021,11:00,11:15,4,,105,6,2,2,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),022,11:15,11:30,4,,117,3,1,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),023,11:30,11:45,3,,88,5,1,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),024,11:45,12:00,4,,96,9,3,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),025,12:00,12:15,1,,93,6,2,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),026,12:15,12:30,0,,79,7,2,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),027,12:30,12:45,6,,87,6,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),028,12:45,13:00,2,,65,4,2,3,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),029,13:00,13:15,2,,124,9,2,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),030,13:15,13:30,0,,100,12,1,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),031,13:30,13:45,2,,107,12,1,1,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Alt Salbke (N),032,13:45,14:00,3,,91,7,2,1,1
