verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),001,06:00,06:15,1,,1,0,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),002,06:15,06:30,0,,0,0,1,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),003,06:30,06:45,2,,2,1,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),004,06:45,07:00,1,,2,0,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),005,07:00,07:15,0,,3,0,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),006,07:15,07:30,0,,2,0,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),007,07:30,07:45,0,,4,0,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),008,07:45,08:00,0,,0,1,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),009,08:00,08:15,0,,5,1,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),010,08:15,08:30,0,,6,0,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),011,08:30,08:45,1,,2,2,0,0,0
1,A,1,1,AL...(3),Zählstrom,,Linksabbieger Porsestraße i. R.Basedowstraße (Einbahnstraße),012,08:45,09:00,0,,1,0,0,0,0
