verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),001,06:00,06:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),002,06:15,06:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),003,06:30,06:45,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),004,06:45,07:00,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),005,07:00,07:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),006,07:15,07:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),007,07:30,07:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),008,07:45,08:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),009,08:00,08:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),010,08:15,08:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),011,08:30,08:45,0,,2,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),012,08:45,09:00,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),013,09:00,09:15,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),014,09:15,09:30,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),015,09:30,09:45,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),016,09:45,10:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),017,10:00,10:15,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),018,10:15,10:30,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),019,10:30,10:45,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),020,10:45,11:00,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),021,11:00,11:15,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),022,11:15,11:30,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),023,11:30,11:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),024,11:45,12:00,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),025,12:00,12:15,1,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),026,12:15,12:30,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),027,12:30,12:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),028,12:45,13:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),029,13:00,13:15,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),030,13:15,13:30,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),031,13:30,13:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),032,13:45,14:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),033,14:00,14:15,1,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),034,14:15,14:30,3,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),035,14:30,14:45,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),036,14:45,15:00,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),037,15:00,15:15,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),038,15:15,15:30,1,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),039,15:30,15:45,0,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),040,15:45,16:00,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),041,16:00,16:15,1,,13,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),042,16:15,16:30,2,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),043,16:30,16:45,0,,17,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),044,16:45,17:00,0,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),045,17:00,17:15,0,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),046,17:15,17:30,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),047,17:30,17:45,1,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),048,17:45,18:00,1,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),049,18:00,18:15,2,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),050,18:15,18:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),051,18:30,18:45,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (SW),052,18:45,19:00,0,,4,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),001,06:00,06:15,6,,71,5,0,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),002,06:15,06:30,6,,93,6,1,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),003,06:30,06:45,12,,154,15,0,0,3
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),004,06:45,07:00,6,,171,9,4,3,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),005,07:00,07:15,10,,146,9,2,2,3
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),006,07:15,07:30,11,,165,6,7,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),007,07:30,07:45,7,,154,9,2,1,2
