verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),001,06:00,06:15,5,,27,0,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),002,06:15,06:30,7,,36,0,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),003,06:30,06:45,9,,69,2,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),004,06:45,07:00,10,,64,5,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),005,07:00,07:15,7,,75,2,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),006,07:15,07:30,11,,89,2,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),007,07:30,07:45,5,,51,0,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),008,07:45,08:00,5,,55,1,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),009,08:00,08:15,3,,44,4,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),010,08:15,08:30,3,,75,2,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),011,08:30,08:45,8,,61,2,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),012,08:45,09:00,3,,63,0,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),013,09:00,09:15,2,,64,4,1,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),014,09:15,09:30,0,,29,1,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),015,09:30,09:45,2,,50,6,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),016,09:45,10:00,2,,54,7,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),017,10:00,10:15,2,,66,17,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),018,10:15,10:30,5,,35,20,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),019,10:30,10:45,3,,33,15,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),020,10:45,11:00,4,,38,20,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),021,11:00,11:15,2,,49,8,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),022,11:15,11:30,5,,64,5,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),023,11:30,11:45,5,,88,6,5,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),024,11:45,12:00,4,,46,6,1,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),025,12:00,12:15,2,,69,7,0,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),026,12:15,12:30,3,,56,3,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),027,12:30,12:45,3,,55,2,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),028,12:45,13:00,3,,33,2,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),029,13:00,13:15,3,,51,4,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),030,13:15,13:30,0,,59,2,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),031,13:30,13:45,4,,71,1,3,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),032,13:45,14:00,7,,43,4,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),033,14:00,14:15,2,,58,2,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Chaussee (SW),034,14:15,14:30,0,,42,0,1,0,1
