verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),001,06:00,06:15,1,,18,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),002,06:15,06:30,3,,31,1,1,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),003,06:30,06:45,1,,35,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),004,06:45,07:00,3,,34,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),005,07:00,07:15,12,,50,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),006,07:15,07:30,3,,58,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),007,07:30,07:45,3,,41,2,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),008,07:45,08:00,4,,47,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),009,08:00,08:15,8,,42,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),010,08:15,08:30,1,,31,2,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),011,08:30,08:45,3,,34,2,3,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),012,08:45,09:00,0,,29,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),013,09:00,09:15,2,,18,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),014,09:15,09:30,0,,17,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),015,09:30,09:45,6,,35,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),016,09:45,10:00,1,,23,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),017,10:00,10:15,2,,28,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),018,10:15,10:30,5,,25,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),019,10:30,10:45,2,,24,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),020,10:45,11:00,5,,29,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),021,11:00,11:15,2,,30,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),022,11:15,11:30,3,,25,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),023,11:30,11:45,7,,23,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),024,11:45,12:00,2,,43,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),025,12:00,12:15,2,,21,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),026,12:15,12:30,4,,33,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),027,12:30,12:45,3,,25,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),028,12:45,13:00,2,,18,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),029,13:00,13:15,0,,21,3,2,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),030,13:15,13:30,1,,29,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),031,13:30,13:45,0,,28,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),032,13:45,14:00,1,,34,1,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),033,14:00,14:15,0,,27,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),034,14:15,14:30,2,,26,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),035,14:30,14:45,3,,30,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Kroatenweg (N),036,14:45,15:00,1,,20,2,0,0,0
