verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),001,06:00,06:15,0,,53,10,24,10,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),002,06:15,06:30,1,,60,2,8,5,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),003,06:30,06:45,0,,77,10,8,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),004,06:45,07:00,0,,63,12,25,2,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),005,07:00,07:15,1,,61,16,18,4,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),006,07:15,07:30,0,,54,17,24,9,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),007,07:30,07:45,0,,56,23,19,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),008,07:45,08:00,0,,46,11,17,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),009,08:00,08:15,0,,35,14,17,8,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),010,08:15,08:30,0,,43,14,18,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),011,08:30,08:45,0,,47,7,24,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),012,08:45,09:00,0,,58,13,24,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),013,09:00,09:15,0,,56,3,53,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),014,09:15,09:30,0,,26,2,6,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),015,09:30,09:45,5,,83,3,7,17,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),016,09:45,10:00,0,,67,8,10,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),017,10:00,10:15,2,,72,9,8,11,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),018,10:15,10:30,0,,52,10,13,11,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),019,10:30,10:45,0,,71,4,11,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),020,10:45,11:00,0,,62,9,8,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),021,11:00,11:15,0,,72,5,7,12,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),022,11:15,11:30,0,,62,9,18,9,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),023,11:30,11:45,2,,64,0,11,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),024,11:45,12:00,1,,60,8,11,10,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),025,12:00,12:15,1,,50,9,9,12,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),026,12:15,12:30,1,,65,3,16,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),027,12:30,12:45,0,,66,6,12,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),028,12:45,13:00,0,,51,6,12,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),029,13:00,13:15,3,,122,9,21,9,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),030,13:15,13:30,3,,81,9,9,9,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),031,13:30,13:45,2,,94,16,12,8,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),032,13:45,14:00,0,,86,7,10,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),033,14:00,14:15,1,,95,6,13,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),034,14:15,14:30,2,,138,14,17,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),035,14:30,14:45,0,,120,14,0,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),036,14:45,15:00,0,,131,8,6,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),037,15:00,15:15,1,,129,18,13,7,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),038,15:15,15:30,0,,146,11,12,7,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),039,15:30,15:45,6,,153,14,13,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),040,15:45,16:00,3,,92,4,7,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),041,16:00,16:15,0,,232,15,13,11,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),042,16:15,16:30,0,,230,10,8,12,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),043,16:30,16:45,3,,193,6,3,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),044,16:45,17:00,0,,163,5,7,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),045,17:00,17:15,0,,184,4,10,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),046,17:15,17:30,1,,121,2,21,16,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),047,17:30,17:45,0,,130,9,11,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),048,17:45,18:00,1,,120,6,15,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),049,18:00,18:15,1,,100,3,11,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),050,18:15,18:30,0,,106,4,9,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),051,18:30,18:45,2,,183,2,7,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),052,18:45,19:00,0,,53,0,15,4,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),001,06:00,06:15,0,,1,0,0,0,1
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),002,06:15,06:30,1,,3,0,0,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),003,06:30,06:45,0,,6,0,0,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),004,06:45,07:00,0,,8,2,1,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),005,07:00,07:15,0,,4,1,2,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),006,07:15,07:30,0,,4,3,0,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),007,07:30,07:45,0,,7,9,0,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),008,07:45,08:00,0,,9,3,4,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),009,08:00,08:15,0,,6,2,2,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),010,08:15,08:30,0,,8,2,4,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),011,08:30,08:45,0,,1,2,4,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),012,08:45,09:00,0,,9,0,1,0,1
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),013,09:00,09:15,0,,11,0,1,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),014,09:15,09:30,0,,4,0,1,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),015,09:30,09:45,0,,9,0,0,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),016,09:45,10:00,0,,15,1,2,1,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),017,10:00,10:15,0,,11,4,3,1,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),018,10:15,10:30,0,,10,2,1,1,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),019,10:30,10:45,0,,14,0,1,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),020,10:45,11:00,0,,6,1,0,2,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),021,11:00,11:15,0,,9,4,1,0,1
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),022,11:15,11:30,0,,11,2,0,0,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),023,11:30,11:45,0,,7,0,1,1,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),024,11:45,12:00,0,,14,3,3,2,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),025,12:00,12:15,0,,6,3,0,2,1
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),026,12:15,12:30,0,,9,3,2,1,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),027,12:30,12:45,0,,7,0,0,1,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),028,12:45,13:00,0,,5,1,0,1,0
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),029,13:00,13:15,0,,14,3,7,0,1
2,B,2,1,BL...(6),Zählstrom,,Linksabbieger Leipziger Chaussee(N),030,13:15,13:30,0,,12,0,1,0,0
