verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,001,06:00,06:15,0,,15,,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,002,06:15,06:30,0,,22,,10,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,003,06:30,06:45,0,,19,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,004,06:45,07:00,0,,13,,5,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,005,07:00,07:15,0,,13,,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,006,07:15,07:30,0,,23,,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,007,07:30,07:45,0,,20,,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,008,07:45,08:00,0,,16,,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,009,08:00,08:15,0,,9,,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,010,08:15,08:30,0,,17,,6,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,011,08:30,08:45,0,,19,,7,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,012,08:45,09:00,0,,19,,6,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,013,09:00,09:15,1,,16,,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Salbker Chaussee,014,09:15,09:30,2,,1,,1,0,0
