verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),001,06:00,06:15,3,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),002,06:15,06:30,1,,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),003,06:30,06:45,1,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),004,06:45,07:00,2,,14,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),005,07:00,07:15,3,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),006,07:15,07:30,2,,13,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),007,07:30,07:45,2,,14,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),008,07:45,08:00,1,,13,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),009,08:00,08:15,0,,25,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),010,08:15,08:30,0,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),011,08:30,08:45,1,,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),012,08:45,09:00,2,,33,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),013,09:00,09:15,2,,12,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),014,09:15,09:30,2,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),015,09:30,09:45,0,,25,0,4,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),016,09:45,10:00,2,,45,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),017,10:00,10:15,6,,30,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),018,10:15,10:30,3,,32,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),019,10:30,10:45,3,,21,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),020,10:45,11:00,2,,36,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Liebknechtstraße(W),021,11:00,11:15,0,,25,0,1,0,0
