verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),001,06:00,06:15,15,,6,0,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),002,06:15,06:30,16,,18,0,0,0,5
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),003,06:30,06:45,12,,15,0,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),004,06:45,07:00,25,,21,1,0,0,3
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),005,07:00,07:15,17,,16,3,0,0,3
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),006,07:15,07:30,40,,27,0,2,0,3
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),007,07:30,07:45,33,,17,0,0,0,4
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),008,07:45,08:00,31,,15,1,1,0,4
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),009,08:00,08:15,12,,10,0,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),010,08:15,08:30,16,,12,0,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),011,08:30,08:45,16,,19,0,0,0,5
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),012,08:45,09:00,11,,9,1,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),013,09:00,09:15,9,,14,0,1,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),014,09:15,09:30,18,,9,0,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),015,09:30,09:45,16,,16,2,2,0,2
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),016,09:45,10:00,10,,21,1,0,0,4
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),017,10:00,10:15,6,,10,1,1,0,3
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),018,10:15,10:30,7,,15,1,0,0,5
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),019,10:30,10:45,9,,12,0,0,0,3
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),020,10:45,11:00,6,,9,0,0,0,2
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),021,11:00,11:15,11,,11,0,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),022,11:15,11:30,5,,7,0,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),023,11:30,11:45,13,,14,1,0,0,5
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),024,11:45,12:00,9,,9,2,1,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),025,12:00,12:15,3,,11,2,0,0,2
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),026,12:15,12:30,6,,11,1,2,0,4
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),027,12:30,12:45,6,,9,4,0,0,5
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),028,12:45,13:00,11,,16,0,0,1,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),029,13:00,13:15,9,,17,0,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),030,13:15,13:30,8,,10,2,0,0,5
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),031,13:30,13:45,6,,5,1,0,0,4
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),032,13:45,14:00,4,,11,2,1,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),033,14:00,14:15,9,,10,2,0,0,2
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),034,14:15,14:30,4,,10,1,0,0,3
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),035,14:30,14:45,13,,9,0,0,0,8
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),036,14:45,15:00,23,,15,1,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),037,15:00,15:15,23,,15,1,0,0,1
