verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,001,06:00,06:15,1,,1,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,002,06:15,06:30,1,,0,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,003,06:30,06:45,0,,3,2,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,004,06:45,07:00,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,005,07:00,07:15,1,,6,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,006,07:15,07:30,0,,2,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,007,07:30,07:45,0,,9,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,008,07:45,08:00,0,,6,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,009,08:00,08:15,1,,5,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,010,08:15,08:30,0,,0,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,011,08:30,08:45,0,,0,3,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,012,08:45,09:00,1,,5,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,013,09:00,09:15,3,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,014,09:15,09:30,0,,8,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,015,09:30,09:45,1,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,016,09:45,10:00,1,,7,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,017,10:00,10:15,0,,6,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,018,10:15,10:30,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,019,10:30,10:45,1,,4,3,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,020,10:45,11:00,0,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,021,11:00,11:15,1,,9,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,022,11:15,11:30,2,,9,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,023,11:30,11:45,1,,7,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,024,11:45,12:00,0,,10,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,025,12:00,12:15,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,026,12:15,12:30,1,,3,0,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,027,12:30,12:45,0,,7,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,028,12:45,13:00,0,,2,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,029,13:00,13:15,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,030,13:15,13:30,0,,3,2,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,031,13:30,13:45,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,032,13:45,14:00,0,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,033,14:00,14:15,0,,6,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,034,14:15,14:30,0,,12,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,035,14:30,14:45,3,,8,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,036,14:45,15:00,2,,7,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,037,15:00,15:15,2,,15,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,038,15:15,15:30,2,,10,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,039,15:30,15:45,1,,17,3,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,040,15:45,16:00,1,,10,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,041,16:00,16:15,1,,21,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,042,16:15,16:30,2,,19,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. DB-Brücke,043,16:30,16:45,2,,23,2,0,0,0
