verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),001,06:00,06:15,1,,7,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),002,06:15,06:30,0,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),003,06:30,06:45,0,,15,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),004,06:45,07:00,1,,17,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),005,07:00,07:15,1,,14,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),006,07:15,07:30,4,,30,0,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),007,07:30,07:45,0,,15,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),008,07:45,08:00,0,,8,1,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),009,08:00,08:15,3,,13,0,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),010,08:15,08:30,2,,8,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),011,08:30,08:45,2,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),012,08:45,09:00,1,,9,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),013,09:00,09:15,2,,10,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),014,09:15,09:30,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),015,09:30,09:45,2,,11,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),016,09:45,10:00,0,,4,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),017,10:00,10:15,1,,6,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),018,10:15,10:30,3,,5,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),019,10:30,10:45,3,,10,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),020,10:45,11:00,1,,12,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),021,11:00,11:15,4,,10,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),022,11:15,11:30,2,,8,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),023,11:30,11:45,2,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),024,11:45,12:00,3,,8,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),025,12:00,12:15,3,,10,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schwarzkopfweg (W),026,12:15,12:30,1,,6,0,0,0,0
