verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,001,06:00,06:15,31,,362,25,6,7,2
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,002,06:15,06:30,39,,501,30,4,6,4
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,003,06:30,06:45,54,,555,39,6,10,2
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,004,06:45,07:00,57,,466,24,11,9,2
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,005,07:00,07:15,80,,416,23,8,5,3
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,006,07:15,07:30,83,,400,17,6,2,2
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,007,07:30,07:45,73,,382,23,7,3,2
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,008,07:45,08:00,85,,375,15,13,11,3
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,009,08:00,08:15,54,,388,24,13,16,3
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,010,08:15,08:30,40,,408,20,14,11,6
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,011,08:30,08:45,48,,411,17,9,9,3
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,012,08:45,09:00,74,,402,10,10,9,1
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,013,09:00,09:15,64,,375,12,11,6,5
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,014,09:15,09:30,50,,344,7,5,10,2
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,015,09:30,09:45,40,,446,43,31,21,2
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,016,09:45,10:00,37,,347,56,39,18,3
1,A,0,0,AG...(2),summierter Strom,6+7,AG1 + AG2,017,10:00,10:15,40,,335,52,28,16,3
