verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,001,06:00,06:15,0,,13,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,002,06:15,06:30,4,,20,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,003,06:30,06:45,0,,25,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,004,06:45,07:00,0,,38,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,005,07:00,07:15,0,,50,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,006,07:15,07:30,0,,56,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,007,07:30,07:45,0,,58,6,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,008,07:45,08:00,1,,41,7,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,009,08:00,08:15,0,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,010,08:15,08:30,1,,28,6,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,011,08:30,08:45,0,,40,3,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,012,08:45,09:00,1,,32,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,013,09:00,09:15,3,,30,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,014,09:15,09:30,0,,27,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,015,09:30,09:45,2,,12,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,016,09:45,10:00,0,,25,1,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,017,10:00,10:15,0,,24,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,018,10:15,10:30,0,,26,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,019,10:30,10:45,0,,35,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,020,10:45,11:00,0,,50,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,021,11:00,11:15,0,,33,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,022,11:15,11:30,0,,30,5,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,023,11:30,11:45,0,,34,3,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,024,11:45,12:00,0,,33,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,025,12:00,12:15,0,,46,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,026,12:15,12:30,1,,36,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,027,12:30,12:45,0,,34,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,028,12:45,13:00,1,,37,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,029,13:00,13:15,1,,37,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,030,13:15,13:30,0,,33,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ziolkowskistraße,031,13:30,13:45,2,,32,1,2,0,0
