verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,001,06:00,06:15,0,,12,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,002,06:15,06:30,0,,10,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,003,06:30,06:45,0,,15,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,004,06:45,07:00,0,,15,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,005,07:00,07:15,0,,21,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,006,07:15,07:30,2,,12,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,007,07:30,07:45,1,,7,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,008,07:45,08:00,0,,4,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,009,08:00,08:15,0,,7,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,010,08:15,08:30,0,,7,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,011,08:30,08:45,1,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,012,08:45,09:00,1,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,013,09:00,09:15,0,,7,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,014,09:15,09:30,2,,2,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,015,09:30,09:45,0,,7,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,016,09:45,10:00,0,,4,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,017,10:00,10:15,1,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,018,10:15,10:30,0,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,019,10:30,10:45,0,,1,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,020,10:45,11:00,1,,1,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,021,11:00,11:15,0,,4,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,022,11:15,11:30,0,,7,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,023,11:30,11:45,0,,3,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,024,11:45,12:00,0,,2,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,025,12:00,12:15,0,,3,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,026,12:15,12:30,0,,2,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,027,12:30,12:45,0,,2,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,028,12:45,13:00,0,,3,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,029,13:00,13:15,0,,10,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,030,13:15,13:30,1,,1,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,031,13:30,13:45,0,,6,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,032,13:45,14:00,0,,2,2,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,033,14:00,14:15,3,,4,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,034,14:15,14:30,0,,4,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,035,14:30,14:45,0,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,036,14:45,15:00,0,,9,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,037,15:00,15:15,0,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,038,15:15,15:30,0,,7,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,039,15:30,15:45,0,,2,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,040,15:45,16:00,0,,12,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,041,16:00,16:15,1,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,042,16:15,16:30,1,,7,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,043,16:30,16:45,0,,10,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,044,16:45,17:00,0,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,045,17:00,17:15,0,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,046,17:15,17:30,0,,5,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,047,17:30,17:45,0,,4,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,048,17:45,18:00,2,,2,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,049,18:00,18:15,1,,2,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,050,18:15,18:30,0,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,051,18:30,18:45,0,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Heradeausfahrer Hauptstraße,052,18:45,19:00,0,,2,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,001,06:00,06:15,0,,2,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,002,06:15,06:30,0,,0,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,003,06:30,06:45,0,,3,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,004,06:45,07:00,0,,1,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,005,07:00,07:15,0,,4,0,0,0,1
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,006,07:15,07:30,0,,4,1,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,007,07:30,07:45,0,,1,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,008,07:45,08:00,0,,1,0,0,0,1
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Hauptstraße,009,08:00,08:15,0,,2,1,0,0,0
