verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,001,06:00,06:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,002,06:15,06:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,003,06:30,06:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,004,06:45,07:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,005,07:00,07:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,006,07:15,07:30,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,007,07:30,07:45,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,008,07:45,08:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,009,08:00,08:15,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,010,08:15,08:30,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,011,08:30,08:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,012,08:45,09:00,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,013,09:00,09:15,0,,11,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,014,09:15,09:30,1,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,015,09:30,09:45,0,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,016,09:45,10:00,0,,18,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,017,10:00,10:15,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,018,10:15,10:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,019,10:30,10:45,0,,11,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,020,10:45,11:00,1,,12,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,021,11:00,11:15,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,022,11:15,11:30,0,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,023,11:30,11:45,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,024,11:45,12:00,1,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,025,12:00,12:15,1,,11,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,026,12:15,12:30,1,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,027,12:30,12:45,1,,14,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,028,12:45,13:00,0,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,029,13:00,13:15,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,030,13:15,13:30,1,,10,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,031,13:30,13:45,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,032,13:45,14:00,0,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,033,14:00,14:15,0,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,034,14:15,14:30,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,035,14:30,14:45,1,,13,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,036,14:45,15:00,0,,18,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,037,15:00,15:15,0,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,038,15:15,15:30,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,039,15:30,15:45,0,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,040,15:45,16:00,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,041,16:00,16:15,0,,16,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,042,16:15,16:30,0,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ausfahrt City Center Cracau,043,16:30,16:45,0,,19,0,0,0,0
