verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,001,06:00,06:15,10,,16,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,002,06:15,06:30,13,,15,1,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,003,06:30,06:45,22,,26,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,004,06:45,07:00,37,,38,2,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,005,07:00,07:15,20,,37,1,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,006,07:15,07:30,38,,52,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,007,07:30,07:45,51,,58,2,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,008,07:45,08:00,38,,39,1,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,009,08:00,08:15,18,,32,3,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,010,08:15,08:30,21,,33,2,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,011,08:30,08:45,24,,32,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,012,08:45,09:00,21,,28,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,013,09:00,09:15,14,,30,2,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,014,09:15,09:30,12,,31,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,015,09:30,09:45,21,,33,4,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,016,09:45,10:00,12,,27,2,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,017,10:00,10:15,8,,29,0,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,018,10:15,10:30,3,,29,2,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,019,10:30,10:45,7,,28,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,020,10:45,11:00,6,,29,1,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,021,11:00,11:15,5,,25,4,0,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,022,11:15,11:30,12,,16,0,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,023,11:30,11:45,9,,21,1,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,024,11:45,12:00,1,,17,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,025,12:00,12:15,3,,33,0,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,026,12:15,12:30,4,,18,2,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,027,12:30,12:45,3,,24,1,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,028,12:45,13:00,11,,31,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,029,13:00,13:15,7,,28,0,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,030,13:15,13:30,7,,30,2,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Goethestraße a.R. Immermannstraße,031,13:30,13:45,3,,23,2,1,0,0
