verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,001,06:00,06:15,2,,40,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,002,06:15,06:30,2,,84,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,003,06:30,06:45,2,,82,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,004,06:45,07:00,0,,112,8,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,005,07:00,07:15,2,,72,8,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,006,07:15,07:30,0,,75,6,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,007,07:30,07:45,1,,95,7,6,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,008,07:45,08:00,2,,102,12,4,3,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,009,08:00,08:15,0,,93,3,5,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,010,08:15,08:30,0,,48,2,5,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,011,08:30,08:45,0,,96,7,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,012,08:45,09:00,2,,55,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,013,09:00,09:15,1,,54,5,1,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,014,09:15,09:30,0,,53,5,5,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,015,09:30,09:45,0,,67,9,4,3,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hannoversche Straße,016,09:45,10:00,0,,42,7,4,1,0
