verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),001,06:00,06:15,0,,13,0,0,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),002,06:15,06:30,2,,31,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),003,06:30,06:45,1,,28,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),004,06:45,07:00,3,,21,2,1,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),005,07:00,07:15,0,,26,5,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),006,07:15,07:30,2,,25,3,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),007,07:30,07:45,0,,27,3,4,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),008,07:45,08:00,1,,24,0,1,2,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),009,08:00,08:15,1,,23,0,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),010,08:15,08:30,1,,22,2,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),011,08:30,08:45,0,,19,1,3,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),012,08:45,09:00,2,,27,2,1,3,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),013,09:00,09:15,1,,20,0,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),014,09:15,09:30,0,,21,0,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gustav-Ricker-Straße (N),015,09:30,09:45,0,,16,7,5,2,1
