verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),001,06:00,06:15,13,,48,0,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),002,06:15,06:30,7,,60,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),003,06:30,06:45,33,,88,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),004,06:45,07:00,25,,96,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),005,07:00,07:15,31,,106,3,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),006,07:15,07:30,26,,165,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),007,07:30,07:45,53,,178,0,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),008,07:45,08:00,29,,100,3,1,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),009,08:00,08:15,9,,95,7,0,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),010,08:15,08:30,28,,90,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),011,08:30,08:45,18,,88,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),012,08:45,09:00,21,,87,1,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Halberstädter Straße (W),013,09:00,09:15,8,,95,1,3,0,0
