verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),001,06:00,06:15,0,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),002,06:15,06:30,0,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),003,06:30,06:45,0,,4,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),004,06:45,07:00,0,,2,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),005,07:00,07:15,3,,2,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),006,07:15,07:30,0,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),007,07:30,07:45,0,,2,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),008,07:45,08:00,0,,3,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),009,08:00,08:15,0,,0,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),010,08:15,08:30,0,,2,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),011,08:30,08:45,0,,1,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),012,08:45,09:00,0,,2,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),013,09:00,09:15,0,,1,2,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),014,09:15,09:30,0,,3,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),015,09:30,09:45,0,,2,3,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),016,09:45,10:00,1,,3,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),017,10:00,10:15,1,,5,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),018,10:15,10:30,0,,3,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),019,10:30,10:45,0,,0,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),020,10:45,11:00,0,,1,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),021,11:00,11:15,0,,0,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),022,11:15,11:30,0,,1,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),023,11:30,11:45,0,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),024,11:45,12:00,0,,5,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),025,12:00,12:15,0,,1,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),026,12:15,12:30,0,,1,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),027,12:30,12:45,0,,2,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),028,12:45,13:00,0,,2,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),029,13:00,13:15,0,,1,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),030,13:15,13:30,1,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),031,13:30,13:45,1,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),032,13:45,14:00,0,,3,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),033,14:00,14:15,1,,2,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),034,14:15,14:30,0,,3,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),035,14:30,14:45,0,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),036,14:45,15:00,0,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),037,15:00,15:15,1,,3,1,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),038,15:15,15:30,3,,6,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),039,15:30,15:45,2,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),040,15:45,16:00,0,,4,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),041,16:00,16:15,1,,6,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),042,16:15,16:30,2,,0,0,0,0,0
2,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Halberstädter Chaussee (NO),043,16:30,16:45,0,,2,1,0,0,0
