verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),001,06:00,06:15,0,,0,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),002,06:15,06:30,1,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),003,06:30,06:45,0,,6,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),004,06:45,07:00,0,,5,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),005,07:00,07:15,2,,3,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),006,07:15,07:30,1,,7,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),007,07:30,07:45,2,,7,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),008,07:45,08:00,1,,7,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),009,08:00,08:15,2,,13,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),010,08:15,08:30,1,,7,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),011,08:30,08:45,2,,2,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),012,08:45,09:00,1,,7,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),013,09:00,09:15,2,,12,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),014,09:15,09:30,4,,10,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),015,09:30,09:45,2,,14,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),016,09:45,10:00,0,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),017,10:00,10:15,5,,14,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),018,10:15,10:30,2,,14,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),019,10:30,10:45,5,,11,5,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),020,10:45,11:00,1,,8,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),021,11:00,11:15,5,,16,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),022,11:15,11:30,0,,12,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),023,11:30,11:45,2,,18,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),024,11:45,12:00,3,,28,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),025,12:00,12:15,3,,14,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),026,12:15,12:30,8,,6,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),027,12:30,12:45,5,,13,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),028,12:45,13:00,2,,11,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),029,13:00,13:15,4,,17,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),030,13:15,13:30,4,,11,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),031,13:30,13:45,2,,12,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),032,13:45,14:00,8,,18,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),033,14:00,14:15,5,,9,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),034,14:15,14:30,5,,15,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),035,14:30,14:45,2,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),036,14:45,15:00,2,,10,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),037,15:00,15:15,4,,16,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),038,15:15,15:30,1,,15,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),039,15:30,15:45,11,,16,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),040,15:45,16:00,4,,11,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),041,16:00,16:15,11,,28,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),042,16:15,16:30,4,,25,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),043,16:30,16:45,7,,26,0,0,0,0
