verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),001,06:00,06:15,0,,25,0,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),002,06:15,06:30,0,,40,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),003,06:30,06:45,4,,66,7,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),004,06:45,07:00,2,,65,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),005,07:00,07:15,4,,55,2,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),006,07:15,07:30,3,,75,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),007,07:30,07:45,1,,68,0,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),008,07:45,08:00,0,,44,0,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),009,08:00,08:15,2,,54,3,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),010,08:15,08:30,2,,28,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),011,08:30,08:45,0,,53,3,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),012,08:45,09:00,0,,48,2,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),013,09:00,09:15,3,,37,2,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),014,09:15,09:30,1,,38,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),015,09:30,09:45,0,,19,1,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),016,09:45,10:00,1,,22,2,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),017,10:00,10:15,1,,25,1,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),018,10:15,10:30,0,,42,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),019,10:30,10:45,0,,30,2,3,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),020,10:45,11:00,1,,27,2,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),021,11:00,11:15,0,,26,2,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),022,11:15,11:30,1,,23,3,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),023,11:30,11:45,0,,19,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),024,11:45,12:00,1,,18,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),025,12:00,12:15,0,,21,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),026,12:15,12:30,1,,19,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),027,12:30,12:45,0,,24,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),028,12:45,13:00,0,,19,0,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),029,13:00,13:15,1,,31,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),030,13:15,13:30,0,,24,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),031,13:30,13:45,1,,26,1,1,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),032,13:45,14:00,1,,24,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),033,14:00,14:15,1,,22,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),034,14:15,14:30,2,,25,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hannoversche Straße (NW),035,14:30,14:45,1,,33,3,1,0,0
