verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),001,06:00,06:15,1,,13,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),002,06:15,06:30,0,,22,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),003,06:30,06:45,0,,19,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),004,06:45,07:00,2,,23,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),005,07:00,07:15,1,,25,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),006,07:15,07:30,0,,34,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),007,07:30,07:45,0,,28,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),008,07:45,08:00,1,,23,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),009,08:00,08:15,1,,23,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),010,08:15,08:30,0,,20,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),011,08:30,08:45,0,,22,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),012,08:45,09:00,0,,22,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),013,09:00,09:15,0,,28,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),014,09:15,09:30,0,,28,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),015,09:30,09:45,0,,21,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),016,09:45,10:00,0,,29,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),017,10:00,10:15,0,,19,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),018,10:15,10:30,0,,24,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),019,10:30,10:45,0,,20,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),020,10:45,11:00,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),021,11:00,11:15,1,,23,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),022,11:15,11:30,0,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),023,11:30,11:45,0,,22,5,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),024,11:45,12:00,0,,19,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),025,12:00,12:15,0,,19,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),026,12:15,12:30,0,,22,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),027,12:30,12:45,0,,20,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),028,12:45,13:00,0,,11,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),029,13:00,13:15,0,,17,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),030,13:15,13:30,0,,15,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),031,13:30,13:45,0,,11,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),032,13:45,14:00,0,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),033,14:00,14:15,0,,22,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Pettenkoferstraße(W),034,14:15,14:30,0,,15,2,0,0,0
