verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,001,06:00,06:15,0,,2,0,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,002,06:15,06:30,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,003,06:30,06:45,0,,7,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,004,06:45,07:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,005,07:00,07:15,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,006,07:15,07:30,0,,3,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,007,07:30,07:45,0,,5,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,008,07:45,08:00,0,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,009,08:00,08:15,0,,3,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,010,08:15,08:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,011,08:30,08:45,0,,1,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,012,08:45,09:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,013,09:00,09:15,0,,4,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,014,09:15,09:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,015,09:30,09:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,016,09:45,10:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,017,10:00,10:15,0,,3,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,018,10:15,10:30,0,,3,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,019,10:30,10:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,020,10:45,11:00,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,021,11:00,11:15,0,,1,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,022,11:15,11:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,023,11:30,11:45,0,,1,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,024,11:45,12:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,025,12:00,12:15,0,,2,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,026,12:15,12:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,027,12:30,12:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,028,12:45,13:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,029,13:00,13:15,0,,3,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,030,13:15,13:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,031,13:30,13:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,032,13:45,14:00,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,033,14:00,14:15,0,,1,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,034,14:15,14:30,0,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,035,14:30,14:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,036,14:45,15:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,037,15:00,15:15,0,,0,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,038,15:15,15:30,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,039,15:30,15:45,0,,3,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,040,15:45,16:00,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,041,16:00,16:15,0,,4,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,042,16:15,16:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,043,16:30,16:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,044,16:45,17:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,045,17:00,17:15,0,,1,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,046,17:15,17:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,047,17:30,17:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,048,17:45,18:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,049,18:00,18:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,050,18:15,18:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,051,18:30,18:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Müllerbreite,052,18:45,19:00,0,,1,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,001,06:00,06:15,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,002,06:15,06:30,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,003,06:30,06:45,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,004,06:45,07:00,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,005,07:00,07:15,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,006,07:15,07:30,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,007,07:30,07:45,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,008,07:45,08:00,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,009,08:00,08:15,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,010,08:15,08:30,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,011,08:30,08:45,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,012,08:45,09:00,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,013,09:00,09:15,0,,2,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,014,09:15,09:30,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,015,09:30,09:45,0,,1,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,016,09:45,10:00,0,,1,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,017,10:00,10:15,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,018,10:15,10:30,0,,2,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,019,10:30,10:45,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,020,10:45,11:00,0,,0,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,021,11:00,11:15,0,,4,4,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,022,11:15,11:30,0,,1,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,023,11:30,11:45,0,,1,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,024,11:45,12:00,0,,1,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Müllerbreite,025,12:00,12:15,0,,1,0,0,0,0
