verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),001,06:00,06:15,0,,20,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),002,06:15,06:30,0,,44,1,1,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),003,06:30,06:45,0,,36,2,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),004,06:45,07:00,0,,26,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),005,07:00,07:15,0,,35,4,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),006,07:15,07:30,1,,33,2,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),007,07:30,07:45,0,,39,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),008,07:45,08:00,0,,28,1,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),009,08:00,08:15,2,,27,3,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),010,08:15,08:30,2,,32,1,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),011,08:30,08:45,1,,32,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),012,08:45,09:00,0,,36,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),013,09:00,09:15,1,,31,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),014,09:15,09:30,1,,29,2,1,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),015,09:30,09:45,0,,52,4,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),016,09:45,10:00,0,,38,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),017,10:00,10:15,0,,42,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),018,10:15,10:30,0,,43,3,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),019,10:30,10:45,0,,33,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),020,10:45,11:00,0,,40,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),021,11:00,11:15,0,,43,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),022,11:15,11:30,0,,39,3,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),023,11:30,11:45,0,,58,1,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),024,11:45,12:00,0,,38,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),025,12:00,12:15,0,,54,4,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),026,12:15,12:30,0,,33,3,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),027,12:30,12:45,0,,32,3,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),028,12:45,13:00,1,,29,0,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),029,13:00,13:15,0,,36,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),030,13:15,13:30,1,,28,1,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),031,13:30,13:45,2,,31,1,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),032,13:45,14:00,1,,23,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),033,14:00,14:15,1,,26,1,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),034,14:15,14:30,3,,28,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),035,14:30,14:45,3,,26,3,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),036,14:45,15:00,1,,51,4,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),037,15:00,15:15,4,,60,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),038,15:15,15:30,4,,57,1,0,0,2
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),039,15:30,15:45,3,,42,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),040,15:45,16:00,1,,35,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),041,16:00,16:15,0,,52,4,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),042,16:15,16:30,0,,48,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),043,16:30,16:45,0,,58,5,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),044,16:45,17:00,0,,51,5,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),045,17:00,17:15,0,,44,3,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),046,17:15,17:30,3,,43,2,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),047,17:30,17:45,1,,40,3,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),048,17:45,18:00,3,,46,3,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),049,18:00,18:15,1,,38,4,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),050,18:15,18:30,1,,40,1,0,0,1
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),051,18:30,18:45,1,,34,2,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(N),052,18:45,19:00,0,,29,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),001,06:00,06:15,0,,4,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),002,06:15,06:30,0,,14,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),003,06:30,06:45,0,,11,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),004,06:45,07:00,0,,15,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),005,07:00,07:15,0,,7,2,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),006,07:15,07:30,0,,19,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),007,07:30,07:45,0,,18,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),008,07:45,08:00,0,,12,3,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),009,08:00,08:15,0,,17,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),010,08:15,08:30,0,,10,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),011,08:30,08:45,0,,9,1,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),012,08:45,09:00,0,,11,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),013,09:00,09:15,0,,10,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),014,09:15,09:30,0,,7,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),015,09:30,09:45,0,,27,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),016,09:45,10:00,0,,34,0,1,1,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),017,10:00,10:15,0,,24,2,0,1,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),018,10:15,10:30,0,,17,3,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),019,10:30,10:45,0,,13,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),020,10:45,11:00,0,,28,0,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),021,11:00,11:15,0,,24,5,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),022,11:15,11:30,0,,17,3,2,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),023,11:30,11:45,1,,16,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),024,11:45,12:00,0,,18,1,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),025,12:00,12:15,1,,16,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),026,12:15,12:30,0,,14,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),027,12:30,12:45,0,,21,1,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),028,12:45,13:00,0,,13,1,3,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),029,13:00,13:15,0,,15,2,1,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),030,13:15,13:30,0,,9,1,0,0,1
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),031,13:30,13:45,0,,8,2,0,0,0
4,B,1,2,BL...(6),Zählstrom,,Linksabbieger Scharnhorstring (N),032,13:45,14:00,0,,6,2,0,0,0
