verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,001,06:00,06:15,15,,45,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,002,06:15,06:30,24,,50,6,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,003,06:30,06:45,32,,67,8,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,004,06:45,07:00,43,,56,14,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,005,07:00,07:15,38,,89,4,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,006,07:15,07:30,47,,113,6,5,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,007,07:30,07:45,42,,121,9,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,008,07:45,08:00,38,,105,13,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,009,08:00,08:15,27,,62,5,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,010,08:15,08:30,30,,71,8,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,011,08:30,08:45,34,,63,7,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,012,08:45,09:00,30,,80,3,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,013,09:00,09:15,20,,55,6,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,014,09:15,09:30,20,,73,8,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,015,09:30,09:45,26,,56,7,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,016,09:45,10:00,17,,54,7,2,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,017,10:00,10:15,21,,76,3,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,018,10:15,10:30,21,,69,8,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,019,10:30,10:45,22,,79,11,0,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,020,10:45,11:00,27,,76,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,021,11:00,11:15,19,,70,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,022,11:15,11:30,32,,61,7,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,023,11:30,11:45,34,,85,1,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,024,11:45,12:00,26,,80,11,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,025,12:00,12:15,24,,75,11,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,026,12:15,12:30,21,,63,5,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,027,12:30,12:45,29,,77,3,2,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,028,12:45,13:00,26,,66,5,2,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,029,13:00,13:15,30,,65,7,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,030,13:15,13:30,29,,88,4,5,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,031,13:30,13:45,27,,59,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,032,13:45,14:00,30,,84,8,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,033,14:00,14:15,15,,96,3,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,034,14:15,14:30,24,,82,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,035,14:30,14:45,33,,75,6,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,036,14:45,15:00,32,,71,3,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,037,15:00,15:15,19,,52,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,038,15:15,15:30,24,,75,4,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,039,15:30,15:45,21,,74,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,040,15:45,16:00,38,,74,4,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,041,16:00,16:15,56,,62,3,1,1,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,042,16:15,16:30,42,,65,5,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,043,16:30,16:45,32,,75,6,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,044,16:45,17:00,45,,121,10,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,045,17:00,17:15,42,,135,0,0,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,046,17:15,17:30,35,,88,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,047,17:30,17:45,30,,111,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,048,17:45,18:00,29,,107,4,1,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,049,18:00,18:15,30,,95,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,050,18:15,18:30,19,,83,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,051,18:30,18:45,16,,72,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Gareisstraße i.R. Uniplatz,052,18:45,19:00,23,,60,1,0,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,001,06:00,06:15,6,,50,1,0,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,002,06:15,06:30,18,,78,9,2,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,003,06:30,06:45,25,,67,12,1,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,004,06:45,07:00,19,,58,6,1,0,1
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,005,07:00,07:15,20,,77,8,4,1,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,006,07:15,07:30,30,,111,4,1,0,1
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,007,07:30,07:45,25,,82,4,2,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,008,07:45,08:00,26,,68,2,0,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,009,08:00,08:15,17,,81,3,1,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,010,08:15,08:30,8,,76,7,1,0,2
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,011,08:30,08:45,10,,76,5,1,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,012,08:45,09:00,10,,55,1,1,1,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,013,09:00,09:15,9,,43,2,0,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,014,09:15,09:30,14,,46,3,1,0,1
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Gareisstraße a.R. Uniplatz,015,09:30,09:45,21,,101,4,1,0,0
