verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),001,06:00,06:15,0,,50,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),002,06:15,06:30,0,,67,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),003,06:30,06:45,3,,78,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),004,06:45,07:00,0,,69,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),005,07:00,07:15,0,,119,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),006,07:15,07:30,0,,52,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),007,07:30,07:45,0,,77,5,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),008,07:45,08:00,1,,74,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),009,08:00,08:15,0,,74,12,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),010,08:15,08:30,0,,53,7,5,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),011,08:30,08:45,0,,61,10,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),012,08:45,09:00,0,,47,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),013,09:00,09:15,0,,34,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),014,09:15,09:30,0,,64,6,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),015,09:30,09:45,0,,48,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),016,09:45,10:00,0,,52,1,2,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),017,10:00,10:15,0,,62,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),018,10:15,10:30,0,,55,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),019,10:30,10:45,0,,68,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),020,10:45,11:00,0,,48,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),021,11:00,11:15,0,,54,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),022,11:15,11:30,0,,71,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),023,11:30,11:45,0,,49,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),024,11:45,12:00,0,,44,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),025,12:00,12:15,0,,50,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),026,12:15,12:30,0,,59,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),027,12:30,12:45,0,,52,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),028,12:45,13:00,0,,42,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),029,13:00,13:15,0,,50,3,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),030,13:15,13:30,0,,37,6,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),031,13:30,13:45,0,,49,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),032,13:45,14:00,0,,51,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),033,14:00,14:15,0,,47,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),034,14:15,14:30,0,,35,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),035,14:30,14:45,0,,29,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),036,14:45,15:00,0,,40,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),037,15:00,15:15,0,,39,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),038,15:15,15:30,0,,67,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),039,15:30,15:45,0,,55,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),040,15:45,16:00,0,,49,2,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),041,16:00,16:15,3,,57,5,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),042,16:15,16:30,0,,47,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),043,16:30,16:45,4,,67,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),044,16:45,17:00,3,,65,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),045,17:00,17:15,5,,70,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),046,17:15,17:30,5,,79,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),047,17:30,17:45,5,,82,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),048,17:45,18:00,6,,60,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),049,18:00,18:15,5,,64,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),050,18:15,18:30,3,,56,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),051,18:30,18:45,3,,78,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Walther-Rathenau-Straße (W),052,18:45,19:00,4,,69,5,0,0,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),001,06:00,06:15,15,,72,4,3,2,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),002,06:15,06:30,14,,99,10,6,4,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),003,06:30,06:45,25,,122,6,6,7,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),004,06:45,07:00,17,,86,15,5,6,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),005,07:00,07:15,19,,109,10,8,1,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),006,07:15,07:30,19,,89,7,10,5,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),007,07:30,07:45,21,,94,10,14,7,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),008,07:45,08:00,18,,78,9,14,6,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),009,08:00,08:15,12,,75,20,14,5,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),010,08:15,08:30,11,,69,11,7,11,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),011,08:30,08:45,14,,89,10,12,7,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),012,08:45,09:00,18,,73,12,12,5,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),013,09:00,09:15,3,,72,14,11,3,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),014,09:15,09:30,9,,66,9,7,8,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),015,09:30,09:45,13,,86,3,9,6,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),016,09:45,10:00,14,,94,4,7,9,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),017,10:00,10:15,5,,78,11,17,9,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),018,10:15,10:30,9,,90,7,12,5,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),019,10:30,10:45,3,,98,7,7,3,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),020,10:45,11:00,9,,82,2,8,2,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),021,11:00,11:15,13,,77,7,8,4,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),022,11:15,11:30,8,,91,7,4,5,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),023,11:30,11:45,7,,74,6,18,3,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),024,11:45,12:00,12,,71,13,12,5,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),025,12:00,12:15,9,,103,10,4,6,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),026,12:15,12:30,15,,86,14,9,5,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),027,12:30,12:45,21,,89,7,5,3,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),028,12:45,13:00,19,,100,11,8,9,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),029,13:00,13:15,11,,83,15,5,4,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),030,13:15,13:30,10,,118,14,2,2,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),031,13:30,13:45,9,,103,13,8,6,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),032,13:45,14:00,5,,57,1,11,9,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),033,14:00,14:15,10,,87,14,8,12,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),034,14:15,14:30,15,,76,4,11,12,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),035,14:30,14:45,20,,96,11,11,11,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),036,14:45,15:00,10,,81,10,9,6,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),037,15:00,15:15,14,,92,10,15,15,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),038,15:15,15:30,11,,121,9,7,6,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),039,15:30,15:45,21,,87,6,3,18,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),040,15:45,16:00,12,,73,4,4,14,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),041,16:00,16:15,25,,129,5,10,13,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),042,16:15,16:30,16,,108,8,3,8,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),043,16:30,16:45,18,,125,5,10,9,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),044,16:45,17:00,15,,102,3,9,9,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),045,17:00,17:15,22,,103,9,1,2,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),046,17:15,17:30,17,,144,2,3,4,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),047,17:30,17:45,40,,154,3,4,2,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),048,17:45,18:00,33,,150,2,0,4,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),049,18:00,18:15,30,,128,4,0,3,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),050,18:15,18:30,25,,135,1,1,3,1
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),051,18:30,18:45,20,,149,2,1,2,0
2,A,2,1,AG1,Zählstrom,,Geradeausfahrer 1 Walther-Rathenau-Straße (W),052,18:45,19:00,15,,120,4,0,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),001,06:00,06:15,0,,82,5,1,0,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),002,06:15,06:30,0,,120,14,5,2,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),003,06:30,06:45,0,,128,8,0,2,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),004,06:45,07:00,0,,102,14,1,0,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),005,07:00,07:15,0,,123,12,1,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),006,07:15,07:30,0,,96,14,4,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),007,07:30,07:45,0,,112,17,2,0,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),008,07:45,08:00,0,,90,19,4,0,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),009,08:00,08:15,0,,102,22,2,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),010,08:15,08:30,0,,90,15,2,0,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),011,08:30,08:45,0,,113,12,5,6,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),012,08:45,09:00,0,,95,8,6,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),013,09:00,09:15,0,,89,17,7,0,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),014,09:15,09:30,0,,89,15,1,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),015,09:30,09:45,0,,105,12,4,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),016,09:45,10:00,0,,83,10,6,3,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),017,10:00,10:15,0,,87,8,4,3,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),018,10:15,10:30,0,,113,5,2,1,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),019,10:30,10:45,0,,74,9,4,2,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),020,10:45,11:00,0,,77,2,4,0,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),021,11:00,11:15,0,,103,10,2,3,0
3,A,3,3,AG2,Zählstrom,,Geradeausfahrer 2 Walther-Rathenau-Straße (W),022,11:15,11:30,0,,89,2,4,1,0
