verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,001,06:00,06:15,0,,24,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,002,06:15,06:30,2,,28,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,003,06:30,06:45,4,,51,3,3,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,004,06:45,07:00,4,,62,1,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,005,07:00,07:15,3,,54,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,006,07:15,07:30,2,,71,7,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,007,07:30,07:45,2,,78,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,008,07:45,08:00,4,,59,7,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,009,08:00,08:15,2,,51,1,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,010,08:15,08:30,4,,46,3,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,011,08:30,08:45,5,,42,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,012,08:45,09:00,6,,38,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,013,09:00,09:15,4,,32,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,014,09:15,09:30,2,,29,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,015,09:30,09:45,3,,37,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,016,09:45,10:00,5,,35,6,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Rögätzer Straßei. R. Wittenberger Platz,017,10:00,10:15,0,,18,10,1,1,0
