verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,001,06:00,06:15,0,,0,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,002,06:15,06:30,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,003,06:30,06:45,0,,5,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,004,06:45,07:00,0,,2,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,005,07:00,07:15,0,,0,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,006,07:15,07:30,3,,4,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,007,07:30,07:45,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,008,07:45,08:00,0,,2,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,009,08:00,08:15,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,010,08:15,08:30,0,,0,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,011,08:30,08:45,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,012,08:45,09:00,0,,0,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,013,09:00,09:15,0,,0,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,014,09:15,09:30,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,015,09:30,09:45,1,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,016,09:45,10:00,0,,4,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,017,10:00,10:15,1,,2,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,018,10:15,10:30,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,019,10:30,10:45,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,020,10:45,11:00,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,021,11:00,11:15,3,,2,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,022,11:15,11:30,1,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,023,11:30,11:45,0,,3,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,024,11:45,12:00,3,,5,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,025,12:00,12:15,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,026,12:15,12:30,2,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,027,12:30,12:45,1,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,028,12:45,13:00,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,029,13:00,13:15,0,,1,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,030,13:15,13:30,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,031,13:30,13:45,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,032,13:45,14:00,1,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,033,14:00,14:15,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,034,14:15,14:30,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,035,14:30,14:45,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,036,14:45,15:00,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,037,15:00,15:15,1,,0,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,038,15:15,15:30,1,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,039,15:30,15:45,1,,5,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,040,15:45,16:00,0,,4,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,041,16:00,16:15,4,,6,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,042,16:15,16:30,0,,4,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,043,16:30,16:45,1,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,044,16:45,17:00,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,045,17:00,17:15,2,,4,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,046,17:15,17:30,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,047,17:30,17:45,1,,3,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,048,17:45,18:00,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,049,18:00,18:15,3,,6,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,050,18:15,18:30,3,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,051,18:30,18:45,1,,7,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) i. R. Wittenberger Platz,052,18:45,19:00,0,,2,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,001,06:00,06:15,0,,1,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,002,06:15,06:30,1,,1,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,003,06:30,06:45,0,,5,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,004,06:45,07:00,0,,2,0,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,005,07:00,07:15,1,,5,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,006,07:15,07:30,0,,4,0,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,007,07:30,07:45,0,,5,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,008,07:45,08:00,1,,4,1,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,009,08:00,08:15,0,,5,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,010,08:15,08:30,0,,2,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,011,08:30,08:45,2,,6,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,012,08:45,09:00,1,,1,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,013,09:00,09:15,2,,3,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,014,09:15,09:30,0,,2,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,015,09:30,09:45,0,,2,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,016,09:45,10:00,0,,3,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,017,10:00,10:15,0,,1,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,018,10:15,10:30,0,,6,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,019,10:30,10:45,0,,3,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,020,10:45,11:00,0,,4,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,021,11:00,11:15,0,,1,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,022,11:15,11:30,0,,5,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,023,11:30,11:45,0,,5,1,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,024,11:45,12:00,0,,3,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,025,12:00,12:15,0,,3,1,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,026,12:15,12:30,0,,1,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,027,12:30,12:45,0,,4,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,028,12:45,13:00,0,,2,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,029,13:00,13:15,0,,1,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,030,13:15,13:30,0,,4,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,031,13:30,13:45,0,,2,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Wittenberger Straße (NW) a. R. Wittenberger Platz,032,13:45,14:00,0,,3,0,0,0,0
