verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,001,06:00,06:15,2,,41,1,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,002,06:15,06:30,8,,53,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,003,06:30,06:45,2,,82,4,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,004,06:45,07:00,4,,89,9,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,005,07:00,07:15,3,,79,6,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,006,07:15,07:30,6,,83,10,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,007,07:30,07:45,3,,91,13,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,008,07:45,08:00,5,,108,15,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,009,08:00,08:15,2,,106,11,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,010,08:15,08:30,3,,91,6,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,011,08:30,08:45,2,,84,7,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,012,08:45,09:00,5,,79,9,1,0,4
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,013,09:00,09:15,5,,59,4,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,014,09:15,09:30,2,,51,5,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,015,09:30,09:45,3,,54,0,6,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,016,09:45,10:00,0,,56,5,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,017,10:00,10:15,1,,71,9,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,018,10:15,10:30,1,,60,7,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,019,10:30,10:45,3,,80,12,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,020,10:45,11:00,1,,58,10,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,021,11:00,11:15,1,,68,9,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,022,11:15,11:30,0,,50,12,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,023,11:30,11:45,3,,63,14,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,024,11:45,12:00,3,,72,6,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,025,12:00,12:15,1,,62,3,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,026,12:15,12:30,2,,54,12,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße (SO)a. R. Wittenberger Platz ab 15 h Stau??,027,12:30,12:45,0,,65,12,0,0,1
