verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),001,06:00,06:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),002,06:15,06:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),003,06:30,06:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),004,06:45,07:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),005,07:00,07:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),006,07:15,07:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),007,07:30,07:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),008,07:45,08:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),009,08:00,08:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),010,08:15,08:30,0,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),011,08:30,08:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),012,08:45,09:00,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),013,09:00,09:15,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),014,09:15,09:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),015,09:30,09:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),016,09:45,10:00,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),017,10:00,10:15,1,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),018,10:15,10:30,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),019,10:30,10:45,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),020,10:45,11:00,0,,2,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),021,11:00,11:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),022,11:15,11:30,1,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),023,11:30,11:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),024,11:45,12:00,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),025,12:00,12:15,1,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),026,12:15,12:30,0,,1,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),027,12:30,12:45,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),028,12:45,13:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),029,13:00,13:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),030,13:15,13:30,0,,1,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),031,13:30,13:45,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),032,13:45,14:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),033,14:00,14:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),034,14:15,14:30,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),035,14:30,14:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),036,14:45,15:00,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),037,15:00,15:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),038,15:15,15:30,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),039,15:30,15:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),040,15:45,16:00,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),041,16:00,16:15,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),042,16:15,16:30,1,,8,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),043,16:30,16:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),044,16:45,17:00,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),045,17:00,17:15,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),046,17:15,17:30,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),047,17:30,17:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),048,17:45,18:00,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),049,18:00,18:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),050,18:15,18:30,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),051,18:30,18:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Berliner Chaussee(W),052,18:45,19:00,0,,4,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),001,06:00,06:15,1,,67,7,6,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),002,06:15,06:30,2,,107,8,11,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),003,06:30,06:45,2,,99,19,9,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),004,06:45,07:00,3,,99,12,7,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),005,07:00,07:15,0,,87,11,12,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),006,07:15,07:30,0,,108,14,14,3,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),007,07:30,07:45,0,,95,15,9,3,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),008,07:45,08:00,0,,84,10,10,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),009,08:00,08:15,0,,89,13,11,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),010,08:15,08:30,1,,81,29,14,3,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),011,08:30,08:45,0,,110,20,15,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),012,08:45,09:00,0,,80,20,14,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),013,09:00,09:15,0,,91,17,12,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),014,09:15,09:30,0,,68,13,12,1,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),015,09:30,09:45,1,,123,6,3,10,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),016,09:45,10:00,0,,99,5,6,9,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),017,10:00,10:15,0,,126,7,6,7,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),018,10:15,10:30,0,,96,11,7,5,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),019,10:30,10:45,2,,118,8,2,8,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),020,10:45,11:00,1,,125,6,3,6,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),021,11:00,11:15,1,,134,10,7,8,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),022,11:15,11:30,1,,109,7,3,5,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),023,11:30,11:45,2,,123,2,6,4,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),024,11:45,12:00,2,,105,9,8,4,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),025,12:00,12:15,0,,141,5,5,8,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),026,12:15,12:30,2,,135,4,4,5,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),027,12:30,12:45,1,,135,3,5,11,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),028,12:45,13:00,1,,103,6,5,4,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),029,13:00,13:15,0,,135,18,8,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),030,13:15,13:30,2,,124,21,7,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),031,13:30,13:45,2,,145,17,12,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Berliner Chaussee (W),032,13:45,14:00,3,,157,15,8,0,1
