verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,001,06:00,06:15,3,,22,0,1,1,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,002,06:15,06:30,3,,15,1,0,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,003,06:30,06:45,4,,43,3,0,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,004,06:45,07:00,2,,46,0,2,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,005,07:00,07:15,12,,57,1,1,3,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,006,07:15,07:30,3,,64,0,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,007,07:30,07:45,13,,79,1,0,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,008,07:45,08:00,6,,47,7,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,009,08:00,08:15,5,,47,4,4,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,010,08:15,08:30,2,,47,1,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,011,08:30,08:45,6,,43,1,0,1,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,012,08:45,09:00,7,,45,4,0,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,013,09:00,09:15,5,,32,1,1,0,2
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,014,09:15,09:30,6,,22,4,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,015,09:30,09:45,4,,20,2,0,0,2
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,016,09:45,10:00,3,,33,2,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,017,10:00,10:15,4,,38,1,0,1,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,018,10:15,10:30,5,,45,2,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,019,10:30,10:45,4,,27,4,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,020,10:45,11:00,3,,38,1,2,1,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,021,11:00,11:15,2,,39,2,0,1,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,022,11:15,11:30,4,,36,7,0,1,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,023,11:30,11:45,4,,44,5,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,024,11:45,12:00,4,,38,7,2,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,025,12:00,12:15,4,,33,4,0,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,026,12:15,12:30,6,,36,2,4,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,027,12:30,12:45,11,,52,5,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,028,12:45,13:00,9,,28,4,0,3,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,029,13:00,13:15,3,,31,3,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,030,13:15,13:30,1,,47,2,2,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,031,13:30,13:45,4,,57,0,1,0,1
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,032,13:45,14:00,5,,44,1,0,0,2
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Ernst-Lehmann-Straße i.R.. Pfälzer Platz,033,14:00,14:15,8,,40,3,1,0,0
