verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,001,06:00,06:15,0,,5,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,002,06:15,06:30,0,,17,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,003,06:30,06:45,0,,18,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,004,06:45,07:00,0,,33,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,005,07:00,07:15,0,,38,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,006,07:15,07:30,0,,45,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,007,07:30,07:45,0,,53,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,008,07:45,08:00,0,,30,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,009,08:00,08:15,0,,24,0,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,010,08:15,08:30,0,,18,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,011,08:30,08:45,0,,24,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,012,08:45,09:00,0,,20,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,013,09:00,09:15,0,,17,3,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,014,09:15,09:30,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,015,09:30,09:45,1,,23,2,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,016,09:45,10:00,1,,29,4,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,017,10:00,10:15,1,,33,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,018,10:15,10:30,0,,13,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,019,10:30,10:45,0,,21,1,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,020,10:45,11:00,0,,30,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,021,11:00,11:15,0,,22,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,022,11:15,11:30,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,023,11:30,11:45,1,,16,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,024,11:45,12:00,0,,22,1,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Hopfengarten,025,12:00,12:15,1,,23,1,0,0,1
