verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,001,06:00,06:15,5,,46,1,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,002,06:15,06:30,2,,41,4,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,003,06:30,06:45,4,,74,4,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,004,06:45,07:00,5,,76,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,005,07:00,07:15,11,,79,5,3,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,006,07:15,07:30,6,,105,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,007,07:30,07:45,4,,104,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,008,07:45,08:00,5,,84,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,009,08:00,08:15,8,,54,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,010,08:15,08:30,2,,66,3,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,011,08:30,08:45,6,,43,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,012,08:45,09:00,9,,54,3,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,013,09:00,09:15,3,,47,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,014,09:15,09:30,2,,44,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,015,09:30,09:45,9,,59,9,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,016,09:45,10:00,8,,47,8,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,017,10:00,10:15,2,,40,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,018,10:15,10:30,8,,39,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,019,10:30,10:45,3,,41,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,020,10:45,11:00,5,,41,9,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,021,11:00,11:15,9,,45,10,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,022,11:15,11:30,3,,31,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,023,11:30,11:45,6,,42,7,1,3,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,024,11:45,12:00,1,,48,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,025,12:00,12:15,2,,36,10,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,026,12:15,12:30,1,,34,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,027,12:30,12:45,1,,49,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,028,12:45,13:00,1,,28,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,029,13:00,13:15,7,,46,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,030,13:15,13:30,0,,36,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,031,13:30,13:45,1,,50,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,032,13:45,14:00,3,,47,2,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,033,14:00,14:15,1,,39,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,034,14:15,14:30,1,,61,8,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,035,14:30,14:45,4,,54,3,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,036,14:45,15:00,5,,66,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,037,15:00,15:15,1,,62,1,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,038,15:15,15:30,1,,91,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,039,15:30,15:45,5,,73,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,040,15:45,16:00,3,,82,1,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,041,16:00,16:15,10,,107,8,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,042,16:15,16:30,2,,110,2,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,043,16:30,16:45,3,,79,7,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,044,16:45,17:00,5,,62,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,045,17:00,17:15,9,,54,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,046,17:15,17:30,5,,80,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,047,17:30,17:45,7,,75,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,048,17:45,18:00,6,,50,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,049,18:00,18:15,7,,59,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,050,18:15,18:30,3,,37,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,051,18:30,18:45,1,,40,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,052,18:45,19:00,2,,30,3,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,001,06:00,06:15,3,,28,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,002,06:15,06:30,1,,22,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,003,06:30,06:45,3,,27,1,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,004,06:45,07:00,0,,34,1,2,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,005,07:00,07:15,2,,42,0,0,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,006,07:15,07:30,2,,59,2,1,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,007,07:30,07:45,0,,74,7,2,0,0
2,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,008,07:45,08:00,2,,57,2,1,0,0
