verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,001,06:00,06:15,2,,12,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,002,06:15,06:30,4,,31,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,003,06:30,06:45,11,,38,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,004,06:45,07:00,12,,43,6,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,005,07:00,07:15,13,,52,9,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,006,07:15,07:30,16,,54,3,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,007,07:30,07:45,19,,95,5,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,008,07:45,08:00,9,,65,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,009,08:00,08:15,9,,34,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,010,08:15,08:30,14,,55,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,011,08:30,08:45,9,,36,8,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,012,08:45,09:00,9,,34,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,013,09:00,09:15,9,,32,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,014,09:15,09:30,11,,30,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,015,09:30,09:45,14,,27,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,016,09:45,10:00,6,,25,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,017,10:00,10:15,3,,38,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,018,10:15,10:30,8,,26,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,019,10:30,10:45,5,,16,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,020,10:45,11:00,4,,24,1,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,021,11:00,11:15,9,,23,3,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,022,11:15,11:30,12,,19,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,023,11:30,11:45,7,,21,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,024,11:45,12:00,1,,12,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,025,12:00,12:15,5,,15,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,026,12:15,12:30,6,,25,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,027,12:30,12:45,3,,26,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,028,12:45,13:00,2,,18,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,029,13:00,13:15,10,,31,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,030,13:15,13:30,8,,26,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,031,13:30,13:45,8,,36,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraße(N) i. R. Pfälzer Platz,032,13:45,14:00,9,,26,2,1,0,0
