verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,001,06:00,06:15,2,,7,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,002,06:15,06:30,3,,3,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,003,06:30,06:45,5,,3,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,004,06:45,07:00,1,,10,0,1,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,005,07:00,07:15,5,,17,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,006,07:15,07:30,11,,20,2,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,007,07:30,07:45,13,,18,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,008,07:45,08:00,8,,19,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,009,08:00,08:15,9,,13,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,010,08:15,08:30,4,,10,2,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,011,08:30,08:45,0,,5,1,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer HohepfortestraßeSüd i. R. Pfälzer Platz,012,08:45,09:00,3,,6,0,0,0,0
