verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,001,06:00,06:15,0,,4,0,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,002,06:15,06:30,0,,0,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,003,06:30,06:45,0,,0,0,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,004,06:45,07:00,0,,1,0,3,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,005,07:00,07:15,0,,1,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,006,07:15,07:30,0,,0,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,007,07:30,07:45,0,,0,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,008,07:45,08:00,1,,1,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,009,08:00,08:15,2,,4,1,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,010,08:15,08:30,1,,4,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,011,08:30,08:45,3,,1,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,012,08:45,09:00,0,,1,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,013,09:00,09:15,1,,4,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,014,09:15,09:30,1,,0,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,015,09:30,09:45,1,,5,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,016,09:45,10:00,2,,7,2,0,1,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,017,10:00,10:15,1,,2,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,018,10:15,10:30,0,,7,1,1,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,019,10:30,10:45,1,,8,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,020,10:45,11:00,2,,7,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,021,11:00,11:15,1,,9,0,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,022,11:15,11:30,0,,6,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,023,11:30,11:45,0,,5,0,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,024,11:45,12:00,0,,7,1,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,025,12:00,12:15,0,,9,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,026,12:15,12:30,0,,8,0,0,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,027,12:30,12:45,0,,17,0,1,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,028,12:45,13:00,0,,6,0,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,029,13:00,13:15,0,,14,2,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,030,13:15,13:30,3,,10,4,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,031,13:30,13:45,3,,10,0,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,032,13:45,14:00,2,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,033,14:00,14:15,0,,9,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,034,14:15,14:30,3,,10,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,035,14:30,14:45,0,,8,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,036,14:45,15:00,2,,10,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,037,15:00,15:15,1,,15,0,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,038,15:15,15:30,1,,15,2,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,039,15:30,15:45,0,,6,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,040,15:45,16:00,0,,6,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,041,16:00,16:15,0,,7,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,042,16:15,16:30,0,,5,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,043,16:30,16:45,0,,6,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,044,16:45,17:00,0,,4,0,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,045,17:00,17:15,1,,8,1,0,0,3
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Zum Bördepark a.R. Nord,046,17:15,17:30,0,,5,0,0,0,1
