verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),001,06:00,06:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),002,06:15,06:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),003,06:30,06:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),004,06:45,07:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),005,07:00,07:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),006,07:15,07:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),007,07:30,07:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),008,07:45,08:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),009,08:00,08:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),010,08:15,08:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),011,08:30,08:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),012,08:45,09:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),013,09:00,09:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),014,09:15,09:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),015,09:30,09:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),016,09:45,10:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),017,10:00,10:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),018,10:15,10:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),019,10:30,10:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),020,10:45,11:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),021,11:00,11:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),022,11:15,11:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),023,11:30,11:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),024,11:45,12:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),025,12:00,12:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),026,12:15,12:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),027,12:30,12:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),028,12:45,13:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),029,13:00,13:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),030,13:15,13:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),031,13:30,13:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),032,13:45,14:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),033,14:00,14:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),034,14:15,14:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),035,14:30,14:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),036,14:45,15:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),037,15:00,15:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),038,15:15,15:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),039,15:30,15:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),040,15:45,16:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),041,16:00,16:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),042,16:15,16:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),043,16:30,16:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),044,16:45,17:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),045,17:00,17:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),046,17:15,17:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),047,17:30,17:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),048,17:45,18:00,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),049,18:00,18:15,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),050,18:15,18:30,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),051,18:30,18:45,,,,,,,
1,A,1,1,AG...(2),Zählstrom,,FG Zum Bördepark  i. R. Adler von Adler (S) bis  Einfahrt Adler (N),052,18:45,19:00,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),001,06:00,06:15,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),002,06:15,06:30,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),003,06:30,06:45,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),004,06:45,07:00,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),005,07:00,07:15,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),006,07:15,07:30,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),007,07:30,07:45,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),008,07:45,08:00,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),009,08:00,08:15,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),010,08:15,08:30,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),011,08:30,08:45,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),012,08:45,09:00,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),013,09:00,09:15,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),014,09:15,09:30,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),015,09:30,09:45,,,,,,,
5,C,1,1,CG...(8),Zählstrom,,FG Zum Bördepark  i. R. Bördepark  von Adler (S) bis  Einfahrt Adler (N),016,09:45,10:00,,,,,,,
